colour	x	y	label	showSelectedlegendcolour	group
#C49A00	70.4146341463415	2.43	Czech Republic	Europe & Central Asia	2
#C49A00	71.3867804878049	1.45	Germany	Europe & Central Asia	2
#00C094	45.4339268292683	6.985	Djibouti	Middle East & North Africa	4
#C49A00	74.0751219512195	1.919	Denmark	Europe & Central Asia	2
#53B400	61.0320975609756	5.193	Dominican Republic	Latin America & Caribbean	3
#00C094	56.1955609756098	7.332	Algeria	Middle East & North Africa	4
#53B400	60.0643658536585	5.717	Ecuador	Latin America & Caribbean	3
#C49A00	69.7346341463415	2.08	Estonia	Europe & Central Asia	2
#00C094	53.1604634146342	5.585	Egypt, Arab Rep.	Middle East & North Africa	4
#FB61D7	44.4299512195122	6.497	Eritrea	Sub-Saharan Africa	7
#C49A00	73.3187804878049	2.788	Spain	Europe & Central Asia	2
#FB61D7	44.217	6.769	Ethiopia	Sub-Saharan Africa	7
#C49A00	71.6736585365854	1.688	Finland	Europe & Central Asia	2
#F8766D	61.5300975609756	4.054	Fiji	East Asia & Pacific	1
#F8766D	63.8545853658537	6.682	Micronesia, Fed. Sts.	East Asia & Pacific	1
#C49A00	72.8536585365854	2.09	France	Europe & Central Asia	2
#FB61D7	50.6999024390244	5.023	Gabon	Sub-Saharan Africa	7
